,player,team,year,injured,previous
0,Christian Parker,New York Yankees,2002,yes,no
1,Jeff Zimmerman,Texas Rangers,2002,yes,no
2,Kris Wilson,Kansas City Royals,2002,yes,no
3,Troy Mattes,Montreal Expos,2002,yes,no
4,Delvin James,Tampa Bay Devil Rays,2002,yes,no
5,Oswaldo Mairena,Florida Marlins,2002,yes,no
6,Eric Cyr,San Diego Padres,2002,yes,no
7,T.J. Tucker,Montreal Expos,2002,yes,no
8,Nate Cornejo,Detroit Tigers,2002,yes,no
9,Darren Dreifort,Los Angeles Dodgers,2002,yes,no
10,David Coggin,Philadelphia Phillies,2003,yes,no
11,Chad Zerbe,San Francisco Giants,2003,yes,no
12,Darren Dreifort,Los Angeles Dodgers,2003,yes,yes
13,Kevin Olsen,Florida Marlins,2003,yes,no
14,Rodrigo Rosario,Houston Astros,2003,yes,no
18,Kris Wilson,Kansas City Royals,2003,yes,yes
19,Jorge De Paula,New York Yankees,2003,yes,no
21,Sean Burnett,Pittsburgh Pirates,2003,yes,no
22,Jorge De Paula,New York Yankees,2004,yes,yes
23,T.J. Tucker,Montreal Expos,2004,yes,yes
24,Nate Cornejo,Detroit Tigers,2004,yes,yes
25,Aquilino Lopez,Toronto Blue Jays,2004,yes,no
26,Sean Burnett,Pittsburgh Pirates,2004,yes,yes
27,Mike Johnston,Pittsburgh Pirates,2004,yes,no
28,Darren Dreifort,Los Angeles Dodgers,2004,yes,yes
30,Joe Saunders,Anaheim Angels,2004,yes,no
31,Colter Bean,New York Yankees,2004,yes,no
32,T.J. Tucker,Washington Nationals,2005,yes,yes
33,Colter Bean,New York Yankees,2005,yes,yes
35,Nate Bump,Florida Marlins,2005,yes,no
37,Scott Baker,Minnesota Twins,2005,yes,no
40,Aaron Rakers,Baltimore Orioles,2005,yes,no
42,Joe Saunders,Los Angeles Angels,2005,yes,yes
44,Sean Burnett,Pittsburgh Pirates,2005,yes,yes
45,Josh Sharpless,Pittsburgh Pirates,2005,yes,no
46,David Pauley,Boston Red Sox,2005,yes,no
47,Jim Johnson,Baltimore Orioles,2005,yes,no
48,Carlos Marmol,Chicago Cubs,2005,yes,no
49,Wes Littleton,Texas Rangers,2005,yes,no
50,Edward Mujica,Cleveland Indians,2006,yes,no
51,Aaron Rakers,Baltimore Orioles,2006,yes,yes
52,Rafael Perez,Cleveland Indians,2006,yes,no
53,Esteban Loaiza,Oakland Athletics,2006,yes,no
54,Sean Green,Seattle Mariners,2006,yes,no
55,Peter Moylan,Atlanta Braves,2006,yes,no
56,Chuck James,Atlanta Braves,2006,yes,no
57,Colter Bean,New York Yankees,2006,yes,yes
58,Wes Littleton,Texas Rangers,2006,yes,yes
59,David Pauley,Boston Red Sox,2006,yes,yes
60,Carlos Marmol,Chicago Cubs,2006,yes,yes
61,Craig Hansen,Boston Red Sox,2006,yes,no
65,Blaine Boyer,Atlanta Braves,2006,yes,no
68,Jered Weaver,Los Angeles Angels,2006,yes,no
71,Scott Baker,Minnesota Twins,2006,yes,yes
73,Sean Tracey,Chicago White Sox,2006,yes,no
74,Joe Saunders,Los Angeles Angels,2006,yes,yes
76,Brandon Duckworth,Kansas City Royals,2006,yes,no
78,Josh Sharpless,Pittsburgh Pirates,2006,yes,yes
79,Francisco Liriano,Minnesota Twins,2006,yes,no
