,fullName,yearID,teamID,lgID,G,birthCountry
0,Mike Scioscia,2002,ANA,AL,162,USA
1,Mike Hargrove,2002,BAL,AL,162,USA
2,Grady Little,2002,BOS,AL,162,USA
3,Jerry Manuel,2002,CHA,AL,162,USA
4,Charlie Manuel,2002,CLE,AL,86,USA
5,Joel Skinner,2002,CLE,AL,76,USA
6,Luis Pujols,2002,DET,AL,155,D.R.
7,Tony Muser,2002,KCA,AL,23,USA
8,Tony Pena,2002,KCA,AL,126,D.R.
9,Ron Gardenhire,2002,MIN,AL,161,Germany
10,Joe Torre,2002,NYA,AL,161,USA
11,Art Howe,2002,OAK,AL,162,USA
12,Lou Piniella,2002,SEA,AL,162,USA
13,Hal McRae,2002,TBA,AL,161,USA
14,Jerry Narron,2002,TEX,AL,162,USA
15,Buck Martinez,2002,TOR,AL,53,USA
16,Carlos Tosca,2002,TOR,AL,109,Cuba
17,Bob Brenly,2002,ARI,NL,162,USA
18,Bobby Cox,2002,ATL,NL,161,USA
19,Don Baylor,2002,CHN,NL,83,USA
20,Bruce Kimm,2002,CHN,NL,78,USA
21,Bob Boone,2002,CIN,NL,162,USA
22,Buddy Bell,2002,COL,NL,22,USA
23,Clint Hurdle,2002,COL,NL,140,USA
24,Jeff Torborg,2002,FLO,NL,162,USA
25,Jimy Williams,2002,HOU,NL,162,USA
26,Jim Tracy,2002,LAN,NL,162,USA
27,Davey Lopes,2002,MIL,NL,15,USA
28,Jerry Royster,2002,MIL,NL,147,USA
29,Frank Robinson,2002,MON,NL,162,USA
30,Bobby Valentine,2002,NYN,NL,161,USA
31,Larry Bowa,2002,PHI,NL,161,USA
32,Lloyd McClendon,2002,PIT,NL,161,USA
33,Bruce Bochy,2002,SDN,NL,162,France
34,Dusty Baker,2002,SFN,NL,162,USA
35,Tony LaRussa,2002,SLN,NL,162,USA
36,Mike Scioscia,2003,ANA,AL,162,USA
37,Mike Hargrove,2003,BAL,AL,163,USA
38,Grady Little,2003,BOS,AL,162,USA
39,Jerry Manuel,2003,CHA,AL,162,USA
40,Eric Wedge,2003,CLE,AL,162,USA
41,Alan Trammell,2003,DET,AL,162,USA
42,Tony Pena,2003,KCA,AL,162,D.R.
43,Ron Gardenhire,2003,MIN,AL,162,Germany
44,Joe Torre,2003,NYA,AL,163,USA
45,Ken Macha,2003,OAK,AL,162,USA
46,Bob Melvin,2003,SEA,AL,162,USA
47,Lou Piniella,2003,TBA,AL,162,USA
48,Buck Showalter,2003,TEX,AL,162,USA
49,Carlos Tosca,2003,TOR,AL,162,Cuba
50,Bob Brenly,2003,ARI,NL,162,USA
51,Bobby Cox,2003,ATL,NL,162,USA
52,Dusty Baker,2003,CHN,NL,162,USA
53,Bob Boone,2003,CIN,NL,104,USA
54,Dave Miley,2003,CIN,NL,57,USA
55,Clint Hurdle,2003,COL,NL,162,USA
56,Jeff Torborg,2003,FLO,NL,38,USA
57,Jack McKeon,2003,FLO,NL,124,USA
58,Jimy Williams,2003,HOU,NL,162,USA
59,Jim Tracy,2003,LAN,NL,162,USA
60,Ned Yost,2003,MIL,NL,162,USA
61,Frank Robinson,2003,MON,NL,162,USA
62,Art Howe,2003,NYN,NL,161,USA
63,Larry Bowa,2003,PHI,NL,162,USA
64,Lloyd McClendon,2003,PIT,NL,162,USA
65,Bruce Bochy,2003,SDN,NL,162,France
66,Felipe Alou,2003,SFN,NL,161,D.R.
67,Tony LaRussa,2003,SLN,NL,162,USA
68,Mike Scioscia,2004,ANA,AL,162,USA
69,Lee Mazzilli,2004,BAL,AL,162,USA
70,Terry Francona,2004,BOS,AL,162,USA
71,Ozzie Guillen,2004,CHA,AL,162,Venezuela
72,Eric Wedge,2004,CLE,AL,162,USA
73,Alan Trammell,2004,DET,AL,162,USA
74,Tony Pena,2004,KCA,AL,162,D.R.
75,Ron Gardenhire,2004,MIN,AL,162,Germany
76,Joe Torre,2004,NYA,AL,162,USA
77,Ken Macha,2004,OAK,AL,162,USA
78,Bob Melvin,2004,SEA,AL,162,USA
79,Lou Piniella,2004,TBA,AL,161,USA
80,Buck Showalter,2004,TEX,AL,162,USA
81,Carlos Tosca,2004,TOR,AL,111,Cuba
82,John Gibbons,2004,TOR,AL,50,USA
83,Bob Brenly,2004,ARI,NL,79,USA
84,Al Pedrique,2004,ARI,NL,83,Venezuela
85,Bobby Cox,2004,ATL,NL,162,USA
86,Dusty Baker,2004,CHN,NL,162,USA
87,Dave Miley,2004,CIN,NL,162,USA
88,Clint Hurdle,2004,COL,NL,162,USA
89,Jack McKeon,2004,FLO,NL,162,USA
90,Jimy Williams,2004,HOU,NL,88,USA
91,Phil Garner,2004,HOU,NL,74,USA
92,Jim Tracy,2004,LAN,NL,162,USA
93,Ned Yost,2004,MIL,NL,161,USA
94,Frank Robinson,2004,MON,NL,162,USA
95,Art Howe,2004,NYN,NL,162,USA
96,Larry Bowa,2004,PHI,NL,160,USA
97,Lloyd McClendon,2004,PIT,NL,161,USA
98,Bruce Bochy,2004,SDN,NL,162,France
99,Felipe Alou,2004,SFN,NL,162,D.R.
100,Tony LaRussa,2004,SLN,NL,162,USA
101,Lee Mazzilli,2005,BAL,AL,107,USA
102,Sam Perlozzo,2005,BAL,AL,55,USA
103,Terry Francona,2005,BOS,AL,162,USA
104,Ozzie Guillen,2005,CHA,AL,162,Venezuela
105,Eric Wedge,2005,CLE,AL,162,USA
106,Alan Trammell,2005,DET,AL,162,USA
107,Tony Pena,2005,KCA,AL,33,D.R.
108,Bob Schaefer,2005,KCA,AL,17,USA
109,Buddy Bell,2005,KCA,AL,112,USA
110,Mike Scioscia,2005,LAA,AL,162,USA
111,Ron Gardenhire,2005,MIN,AL,162,Germany
112,Joe Torre,2005,NYA,AL,162,USA
113,Ken Macha,2005,OAK,AL,162,USA
114,Mike Hargrove,2005,SEA,AL,162,USA
115,Lou Piniella,2005,TBA,AL,162,USA
116,Buck Showalter,2005,TEX,AL,162,USA
117,John Gibbons,2005,TOR,AL,162,USA
118,Bob Melvin,2005,ARI,NL,162,USA
119,Bobby Cox,2005,ATL,NL,162,USA
120,Dusty Baker,2005,CHN,NL,162,USA
121,Dave Miley,2005,CIN,NL,70,USA
122,Jerry Narron,2005,CIN,NL,93,USA
123,Clint Hurdle,2005,COL,NL,162,USA
124,Jack McKeon,2005,FLO,NL,162,USA
125,Phil Garner,2005,HOU,NL,163,USA
126,Jim Tracy,2005,LAN,NL,162,USA
127,Ned Yost,2005,MIL,NL,162,USA
128,Willie Randolph,2005,NYN,NL,162,USA
129,Charlie Manuel,2005,PHI,NL,162,USA
130,Lloyd McClendon,2005,PIT,NL,136,USA
131,Pete Mackanin,2005,PIT,NL,26,USA
132,Bruce Bochy,2005,SDN,NL,162,France
133,Felipe Alou,2005,SFN,NL,162,D.R.
134,Tony LaRussa,2005,SLN,NL,162,USA
135,Frank Robinson,2005,WAS,NL,162,USA
136,Sam Perlozzo,2006,BAL,AL,162,USA
137,Terry Francona,2006,BOS,AL,162,USA
138,Ozzie Guillen,2006,CHA,AL,162,Venezuela
139,Eric Wedge,2006,CLE,AL,162,USA
140,Jim Leyland,2006,DET,AL,162,USA
141,Buddy Bell,2006,KCA,AL,162,USA
142,Mike Scioscia,2006,LAA,AL,162,USA
143,Ron Gardenhire,2006,MIN,AL,162,Germany
144,Joe Torre,2006,NYA,AL,162,USA
145,Ken Macha,2006,OAK,AL,162,USA
146,Mike Hargrove,2006,SEA,AL,162,USA
147,Joe Maddon,2006,TBA,AL,162,USA
148,Buck Showalter,2006,TEX,AL,162,USA
149,John Gibbons,2006,TOR,AL,162,USA
150,Bob Melvin,2006,ARI,NL,162,USA
151,Bobby Cox,2006,ATL,NL,162,USA
152,Dusty Baker,2006,CHN,NL,162,USA
153,Jerry Narron,2006,CIN,NL,162,USA
154,Clint Hurdle,2006,COL,NL,162,USA
155,Joe Girardi,2006,FLO,NL,162,USA
156,Phil Garner,2006,HOU,NL,162,USA
157,Grady Little,2006,LAN,NL,162,USA
158,Ned Yost,2006,MIL,NL,162,USA
159,Willie Randolph,2006,NYN,NL,162,USA
160,Charlie Manuel,2006,PHI,NL,162,USA
161,Jim Tracy,2006,PIT,NL,162,USA
162,Bruce Bochy,2006,SDN,NL,162,France
163,Felipe Alou,2006,SFN,NL,161,D.R.
164,Tony LaRussa,2006,SLN,NL,161,USA
165,Frank Robinson,2006,WAS,NL,162,USA
166,Sam Perlozzo,2007,BAL,AL,69,USA
167,Dave Trembley,2007,BAL,AL,93,USA
168,Terry Francona,2007,BOS,AL,162,USA
169,Ozzie Guillen,2007,CHA,AL,162,Venezuela
170,Eric Wedge,2007,CLE,AL,162,USA
171,Jim Leyland,2007,DET,AL,162,USA
172,Buddy Bell,2007,KCA,AL,162,USA
173,Mike Scioscia,2007,LAA,AL,162,USA
174,Ron Gardenhire,2007,MIN,AL,162,Germany
175,Joe Torre,2007,NYA,AL,162,USA
176,Bob Geren,2007,OAK,AL,162,USA
177,Mike Hargrove,2007,SEA,AL,78,USA
178,John McLaren,2007,SEA,AL,84,USA
179,Joe Maddon,2007,TBA,AL,162,USA
180,Ron Washington,2007,TEX,AL,162,USA
181,John Gibbons,2007,TOR,AL,162,USA
182,Bob Melvin,2007,ARI,NL,162,USA
183,Bobby Cox,2007,ATL,NL,162,USA
184,Lou Piniella,2007,CHN,NL,162,USA
185,Jerry Narron,2007,CIN,NL,82,USA
186,Pete Mackanin,2007,CIN,NL,80,USA
187,Clint Hurdle,2007,COL,NL,163,USA
188,Fredi Gonzalez,2007,FLO,NL,162,Cuba
189,Phil Garner,2007,HOU,NL,131,USA
190,Cecil Cooper,2007,HOU,NL,31,USA
191,Grady Little,2007,LAN,NL,162,USA
192,Ned Yost,2007,MIL,NL,162,USA
193,Willie Randolph,2007,NYN,NL,162,USA
194,Charlie Manuel,2007,PHI,NL,162,USA
195,Jim Tracy,2007,PIT,NL,162,USA
196,Buddy Black,2007,SDN,NL,163,USA
197,Bruce Bochy,2007,SFN,NL,162,France
198,Tony LaRussa,2007,SLN,NL,162,USA
199,Manny Acta,2007,WAS,NL,162,D.R.
200,Dave Trembley,2008,BAL,AL,161,USA
201,Terry Francona,2008,BOS,AL,162,USA
